x,y,global_ctr,tag,ld,st,amoswap,amoor
15,10,338766,3305111552,1776,32,0,0
0,0,338773,3288858624,1904,48,0,0
1,0,338773,3288858624,2032,48,0,0
2,0,338773,3288858624,2160,38,0,0
3,0,338773,3288858624,3168,32,0,0
4,0,338773,3288858624,1792,32,0,0
5,0,338773,3288858624,1792,26,0,0
6,0,338773,3288858624,1792,16,0,0
7,0,338773,3288858624,1792,16,0,0
8,0,338773,3288858624,1792,16,0,0
9,0,338773,3288858624,1792,16,0,0
10,0,338773,3288858624,1792,16,0,0
11,0,338773,3288858624,1792,16,0,0
12,0,338773,3288858624,1792,16,0,0
13,0,338773,3288858624,1792,16,0,0
14,0,338773,3288858624,1792,16,0,0
15,0,338773,3288858624,1792,16,0,0
0,10,338773,3288858624,1792,16,0,0
1,10,338773,3288858624,1792,16,0,0
2,10,338773,3288858624,1792,16,0,0
3,10,338773,3288858624,1792,16,0,0
4,10,338773,3288858624,1792,16,0,0
5,10,338773,3288858624,1792,16,0,0
6,10,338773,3288858624,1792,16,0,0
7,10,338773,3288858624,1792,16,0,0
8,10,338773,3288858624,1776,32,0,0
9,10,338773,3288858624,1776,32,0,0
10,10,338773,3288858624,1776,32,0,0
11,10,338773,3288858624,1776,32,0,0
12,10,338773,3288858624,1776,32,0,0
13,10,338773,3288858624,1776,32,0,0
14,10,338773,3288858624,1776,32,0,0
15,10,338773,3288858624,1776,32,0,0
0,0,338783,3305635840,1904,48,0,0
1,0,338783,3305635840,2032,48,0,0
2,0,338783,3305635840,2160,38,0,0
3,0,338783,3305635840,3168,32,0,0
4,0,338783,3305635840,1792,32,0,0
5,0,338783,3305635840,1792,26,0,0
6,0,338783,3305635840,1792,16,0,0
7,0,338783,3305635840,1792,16,0,0
8,0,338783,3305635840,1792,16,0,0
9,0,338783,3305635840,1792,16,0,0
10,0,338783,3305635840,1792,16,0,0
11,0,338783,3305635840,1792,16,0,0
12,0,338783,3305635840,1792,16,0,0
13,0,338783,3305635840,1792,16,0,0
14,0,338783,3305635840,1792,16,0,0
15,0,338783,3305635840,1792,16,0,0
0,10,338783,3305635840,1792,16,0,0
1,10,338783,3305635840,1792,16,0,0
2,10,338783,3305635840,1792,16,0,0
3,10,338783,3305635840,1792,16,0,0
4,10,338783,3305635840,1792,16,0,0
5,10,338783,3305635840,1792,16,0,0
6,10,338783,3305635840,1792,16,0,0
7,10,338783,3305635840,1792,16,0,0
8,10,338783,3305635840,1776,32,0,0
9,10,338783,3305635840,1776,32,0,0
10,10,338783,3305635840,1776,32,0,0
11,10,338783,3305635840,1776,32,0,0
12,10,338783,3305635840,1776,32,0,0
13,10,338783,3305635840,1776,32,0,0
14,10,338783,3305635840,1776,32,0,0
15,10,338783,3305635840,1776,32,0,0
0,0,338784,3289120768,1904,48,0,0
1,0,338784,3289120768,2032,48,0,0
2,0,338784,3289120768,2160,38,0,0
3,0,338784,3289120768,3168,32,0,0
4,0,338784,3289120768,1792,32,0,0
5,0,338784,3289120768,1792,26,0,0
6,0,338784,3289120768,1792,16,0,0
7,0,338784,3289120768,1792,16,0,0
8,0,338784,3289120768,1792,16,0,0
9,0,338784,3289120768,1792,16,0,0
10,0,338784,3289120768,1792,16,0,0
11,0,338784,3289120768,1792,16,0,0
12,0,338784,3289120768,1792,16,0,0
13,0,338784,3289120768,1792,16,0,0
14,0,338784,3289120768,1792,16,0,0
15,0,338784,3289120768,1792,16,0,0
0,10,338784,3289120768,1792,16,0,0
1,10,338784,3289120768,1792,16,0,0
2,10,338784,3289120768,1792,16,0,0
3,10,338784,3289120768,1792,16,0,0
4,10,338784,3289120768,1792,16,0,0
5,10,338784,3289120768,1792,16,0,0
6,10,338784,3289120768,1792,16,0,0
7,10,338784,3289120768,1792,16,0,0
8,10,338784,3289120768,1776,32,0,0
9,10,338784,3289120768,1776,32,0,0
10,10,338784,3289120768,1776,32,0,0
11,10,338784,3289120768,1776,32,0,0
12,10,338784,3289120768,1776,32,0,0
13,10,338784,3289120768,1776,32,0,0
14,10,338784,3289120768,1776,32,0,0
15,10,338784,3289120768,1776,32,0,0
0,0,338787,3255042048,1904,48,0,0
1,0,338787,3255042048,2032,48,0,0
2,0,338787,3255042048,2160,38,0,0
3,0,338787,3255042048,3168,32,0,0
4,0,338787,3255042048,1792,32,0,0
5,0,338787,3255042048,1792,26,0,0
6,0,338787,3255042048,1792,16,0,0
7,0,338787,3255042048,1792,16,0,0
8,0,338787,3255042048,1792,16,0,0
9,0,338787,3255042048,1792,16,0,0
10,0,338787,3255042048,1792,16,0,0
11,0,338787,3255042048,1792,16,0,0
12,0,338787,3255042048,1792,16,0,0
13,0,338787,3255042048,1792,16,0,0
14,0,338787,3255042048,1792,16,0,0
15,0,338787,3255042048,1792,16,0,0
0,10,338787,3255042048,1792,16,0,0
1,10,338787,3255042048,1792,16,0,0
2,10,338787,3255042048,1792,16,0,0
3,10,338787,3255042048,1792,16,0,0
4,10,338787,3255042048,1792,16,0,0
5,10,338787,3255042048,1792,16,0,0
6,10,338787,3255042048,1792,16,0,0
7,10,338787,3255042048,1792,16,0,0
8,10,338787,3255042048,1776,32,0,0
9,10,338787,3255042048,1776,32,0,0
10,10,338787,3255042048,1776,32,0,0
11,10,338787,3255042048,1776,32,0,0
12,10,338787,3255042048,1776,32,0,0
13,10,338787,3255042048,1776,32,0,0
14,10,338787,3255042048,1776,32,0,0
15,10,338787,3255042048,1776,32,0,0
0,0,338793,3305897984,1904,48,0,0
1,0,338793,3305897984,2032,48,0,0
2,0,338793,3305897984,2160,38,0,0
3,0,338793,3305897984,3168,32,0,0
4,0,338793,3305897984,1792,32,0,0
5,0,338793,3305897984,1792,26,0,0
6,0,338793,3305897984,1792,16,0,0
7,0,338793,3305897984,1792,16,0,0
8,0,338793,3305897984,1792,16,0,0
9,0,338793,3305897984,1792,16,0,0
10,0,338793,3305897984,1792,16,0,0
11,0,338793,3305897984,1792,16,0,0
12,0,338793,3305897984,1792,16,0,0
13,0,338793,3305897984,1792,16,0,0
14,0,338793,3305897984,1792,16,0,0
15,0,338793,3305897984,1792,16,0,0
0,10,338793,3305897984,1792,16,0,0
1,10,338793,3305897984,1792,16,0,0
2,10,338793,3305897984,1792,16,0,0
3,10,338793,3305897984,1792,16,0,0
4,10,338793,3305897984,1792,16,0,0
5,10,338793,3305897984,1792,16,0,0
6,10,338793,3305897984,1792,16,0,0
7,10,338793,3305897984,1792,16,0,0
8,10,338793,3305897984,1776,32,0,0
9,10,338793,3305897984,1776,32,0,0
10,10,338793,3305897984,1776,32,0,0
11,10,338793,3305897984,1776,32,0,0
12,10,338793,3305897984,1776,32,0,0
13,10,338793,3305897984,1776,32,0,0
14,10,338793,3305897984,1776,32,0,0
15,10,338793,3305897984,1776,32,0,0
0,0,338797,3271557120,1904,48,0,0
1,0,338797,3271557120,2032,48,0,0
2,0,338797,3271557120,2160,38,0,0
3,0,338797,3271557120,3168,32,0,0
4,0,338797,3271557120,1792,32,0,0
5,0,338797,3271557120,1792,26,0,0
6,0,338797,3271557120,1792,16,0,0
7,0,338797,3271557120,1792,16,0,0
8,0,338797,3271557120,1792,16,0,0
9,0,338797,3271557120,1792,16,0,0
10,0,338797,3271557120,1792,16,0,0
11,0,338797,3271557120,1792,16,0,0
12,0,338797,3271557120,1792,16,0,0
13,0,338797,3271557120,1792,16,0,0
14,0,338797,3271557120,1792,16,0,0
15,0,338797,3271557120,1792,16,0,0
0,10,338797,3271557120,1792,16,0,0
1,10,338797,3271557120,1792,16,0,0
2,10,338797,3271557120,1792,16,0,0
3,10,338797,3271557120,1792,16,0,0
4,10,338797,3271557120,1792,16,0,0
5,10,338797,3271557120,1792,16,0,0
6,10,338797,3271557120,1792,16,0,0
7,10,338797,3271557120,1792,16,0,0
8,10,338797,3271557120,1776,32,0,0
9,10,338797,3271557120,1776,32,0,0
10,10,338797,3271557120,1776,32,0,0
11,10,338797,3271557120,1776,32,0,0
12,10,338797,3271557120,1776,32,0,0
13,10,338797,3271557120,1776,32,0,0
14,10,338797,3271557120,1776,32,0,0
15,10,338797,3271557120,1776,32,0,0
0,0,338805,3288596480,1904,48,0,0
1,0,338805,3288596480,2032,48,0,0
2,0,338805,3288596480,2160,38,0,0
3,0,338805,3288596480,3168,32,0,0
4,0,338805,3288596480,1792,32,0,0
5,0,338805,3288596480,1792,26,0,0
6,0,338805,3288596480,1792,16,0,0
7,0,338805,3288596480,1792,16,0,0
8,0,338805,3288596480,1792,16,0,0
9,0,338805,3288596480,1792,16,0,0
10,0,338805,3288596480,1792,16,0,0
11,0,338805,3288596480,1792,16,0,0
12,0,338805,3288596480,1792,16,0,0
13,0,338805,3288596480,1792,16,0,0
14,0,338805,3288596480,1792,16,0,0
15,0,338805,3288596480,1792,16,0,0
0,10,338805,3288596480,1792,16,0,0
1,10,338805,3288596480,1792,16,0,0
2,10,338805,3288596480,1792,16,0,0
3,10,338805,3288596480,1792,16,0,0
4,10,338805,3288596480,1792,16,0,0
5,10,338805,3288596480,1792,16,0,0
6,10,338805,3288596480,1792,16,0,0
7,10,338805,3288596480,1792,16,0,0
8,10,338805,3288596480,1776,32,0,0
9,10,338805,3288596480,1776,32,0,0
10,10,338805,3288596480,1776,32,0,0
11,10,338805,3288596480,1776,32,0,0
12,10,338805,3288596480,1776,32,0,0
13,10,338805,3288596480,1776,32,0,0
14,10,338805,3288596480,1776,32,0,0
15,10,338805,3288596480,1776,32,0,0
0,0,338815,3272081408,1904,48,0,0
1,0,338815,3272081408,2032,48,0,0
2,0,338815,3272081408,2160,38,0,0
3,0,338815,3272081408,3168,32,0,0
4,0,338815,3272081408,1792,32,0,0
5,0,338815,3272081408,1792,26,0,0
6,0,338815,3272081408,1792,16,0,0
7,0,338815,3272081408,1792,16,0,0
8,0,338815,3272081408,1792,16,0,0
9,0,338815,3272081408,1792,16,0,0
10,0,338815,3272081408,1792,16,0,0
11,0,338815,3272081408,1792,16,0,0
12,0,338815,3272081408,1792,16,0,0
13,0,338815,3272081408,1792,16,0,0
14,0,338815,3272081408,1792,16,0,0
15,0,338815,3272081408,1792,16,0,0
0,10,338815,3272081408,1792,16,0,0
1,10,338815,3272081408,1792,16,0,0
2,10,338815,3272081408,1792,16,0,0
3,10,338815,3272081408,1792,16,0,0
4,10,338815,3272081408,1792,16,0,0
5,10,338815,3272081408,1792,16,0,0
6,10,338815,3272081408,1792,16,0,0
7,10,338815,3272081408,1792,16,0,0
8,10,338815,3272081408,1776,32,0,0
9,10,338815,3272081408,1776,32,0,0
10,10,338815,3272081408,1776,32,0,0
11,10,338815,3272081408,1776,32,0,0
12,10,338815,3272081408,1776,32,0,0
13,10,338815,3272081408,1776,32,0,0
14,10,338815,3272081408,1776,32,0,0
15,10,338815,3272081408,1776,32,0,0
0,0,338816,3305373696,1904,48,0,0
1,0,338816,3305373696,2032,48,0,0
2,0,338816,3305373696,2160,38,0,0
3,0,338816,3305373696,3168,32,0,0
4,0,338816,3305373696,1792,32,0,0
5,0,338816,3305373696,1792,26,0,0
6,0,338816,3305373696,1792,16,0,0
7,0,338816,3305373696,1792,16,0,0
8,0,338816,3305373696,1792,16,0,0
9,0,338816,3305373696,1792,16,0,0
10,0,338816,3305373696,1792,16,0,0
11,0,338816,3305373696,1792,16,0,0
12,0,338816,3305373696,1792,16,0,0
13,0,338816,3305373696,1792,16,0,0
14,0,338816,3305373696,1792,16,0,0
15,0,338816,3305373696,1792,16,0,0
0,10,338816,3305373696,1792,16,0,0
1,10,338816,3305373696,1792,16,0,0
2,10,338816,3305373696,1792,16,0,0
3,10,338816,3305373696,1792,16,0,0
4,10,338816,3305373696,1792,16,0,0
5,10,338816,3305373696,1792,16,0,0
6,10,338816,3305373696,1792,16,0,0
7,10,338816,3305373696,1792,16,0,0
8,10,338816,3305373696,1776,32,0,0
9,10,338816,3305373696,1776,32,0,0
10,10,338816,3305373696,1776,32,0,0
11,10,338816,3305373696,1776,32,0,0
12,10,338816,3305373696,1776,32,0,0
13,10,338816,3305373696,1776,32,0,0
14,10,338816,3305373696,1776,32,0,0
15,10,338816,3305373696,1776,32,0,0
0,0,338825,3272343552,1904,48,0,0
1,0,338825,3272343552,2032,48,0,0
2,0,338825,3272343552,2160,38,0,0
3,0,338825,3272343552,3168,32,0,0
4,0,338825,3272343552,1792,32,0,0
5,0,338825,3272343552,1792,26,0,0
6,0,338825,3272343552,1792,16,0,0
7,0,338825,3272343552,1792,16,0,0
8,0,338825,3272343552,1792,16,0,0
9,0,338825,3272343552,1792,16,0,0
10,0,338825,3272343552,1792,16,0,0
11,0,338825,3272343552,1792,16,0,0
12,0,338825,3272343552,1792,16,0,0
13,0,338825,3272343552,1792,16,0,0
14,0,338825,3272343552,1792,16,0,0
15,0,338825,3272343552,1792,16,0,0
