instance,global_ctr,tag,ld,st,ld_miss,st_miss,dma_read_req,dma_write_req
tb.card.fpga.CL.lv1_vcache.vcache[13].vcache.cache.vcache_prof,4083265,2232156160,1,94,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[14].vcache.cache.vcache_prof,4083265,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[15].vcache.cache.vcache_prof,4083265,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[0].vcache.cache.vcache_prof,4083266,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[1].vcache.cache.vcache_prof,4083266,2232156160,34,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[2].vcache.cache.vcache_prof,4083266,2232156160,40,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[3].vcache.cache.vcache_prof,4083266,2232156160,13,96,1,12,13,12
tb.card.fpga.CL.lv1_vcache.vcache[4].vcache.cache.vcache_prof,4083266,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[5].vcache.cache.vcache_prof,4083266,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[6].vcache.cache.vcache_prof,4083266,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[7].vcache.cache.vcache_prof,4083266,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[8].vcache.cache.vcache_prof,4083266,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[9].vcache.cache.vcache_prof,4083266,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[10].vcache.cache.vcache_prof,4083266,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[11].vcache.cache.vcache_prof,4083266,2232156160,129,102,0,13,13,12
tb.card.fpga.CL.lv1_vcache.vcache[12].vcache.cache.vcache_prof,4083266,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[13].vcache.cache.vcache_prof,4083266,2232156160,1,94,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[14].vcache.cache.vcache_prof,4083266,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[15].vcache.cache.vcache_prof,4083266,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[0].vcache.cache.vcache_prof,4083267,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[1].vcache.cache.vcache_prof,4083267,2232156160,35,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[2].vcache.cache.vcache_prof,4083267,2232156160,41,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[3].vcache.cache.vcache_prof,4083267,2232156160,13,96,1,12,13,12
tb.card.fpga.CL.lv1_vcache.vcache[4].vcache.cache.vcache_prof,4083267,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[5].vcache.cache.vcache_prof,4083267,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[6].vcache.cache.vcache_prof,4083267,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[7].vcache.cache.vcache_prof,4083267,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[8].vcache.cache.vcache_prof,4083267,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[9].vcache.cache.vcache_prof,4083267,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[10].vcache.cache.vcache_prof,4083267,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[11].vcache.cache.vcache_prof,4083267,2232156160,129,102,0,13,13,12
tb.card.fpga.CL.lv1_vcache.vcache[12].vcache.cache.vcache_prof,4083267,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[13].vcache.cache.vcache_prof,4083267,2232156160,1,94,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[14].vcache.cache.vcache_prof,4083267,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[15].vcache.cache.vcache_prof,4083267,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[0].vcache.cache.vcache_prof,4083268,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[1].vcache.cache.vcache_prof,4083268,2232156160,35,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[2].vcache.cache.vcache_prof,4083268,2232156160,41,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[3].vcache.cache.vcache_prof,4083268,2232156160,13,96,1,12,13,12
tb.card.fpga.CL.lv1_vcache.vcache[4].vcache.cache.vcache_prof,4083268,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[5].vcache.cache.vcache_prof,4083268,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[6].vcache.cache.vcache_prof,4083268,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[7].vcache.cache.vcache_prof,4083268,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[8].vcache.cache.vcache_prof,4083268,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[9].vcache.cache.vcache_prof,4083268,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[10].vcache.cache.vcache_prof,4083268,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[11].vcache.cache.vcache_prof,4083268,2232156160,129,102,0,13,13,12
tb.card.fpga.CL.lv1_vcache.vcache[12].vcache.cache.vcache_prof,4083268,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[13].vcache.cache.vcache_prof,4083268,2232156160,1,94,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[14].vcache.cache.vcache_prof,4083268,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[15].vcache.cache.vcache_prof,4083268,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[0].vcache.cache.vcache_prof,4083269,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[1].vcache.cache.vcache_prof,4083269,2232156160,35,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[2].vcache.cache.vcache_prof,4083269,2232156160,41,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[3].vcache.cache.vcache_prof,4083269,2232156160,13,96,1,12,13,12
tb.card.fpga.CL.lv1_vcache.vcache[4].vcache.cache.vcache_prof,4083269,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[5].vcache.cache.vcache_prof,4083269,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[6].vcache.cache.vcache_prof,4083269,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[7].vcache.cache.vcache_prof,4083269,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[8].vcache.cache.vcache_prof,4083269,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[9].vcache.cache.vcache_prof,4083269,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[10].vcache.cache.vcache_prof,4083269,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[11].vcache.cache.vcache_prof,4083269,2232156160,129,102,0,13,13,12
tb.card.fpga.CL.lv1_vcache.vcache[12].vcache.cache.vcache_prof,4083269,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[13].vcache.cache.vcache_prof,4083269,2232156160,1,94,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[14].vcache.cache.vcache_prof,4083269,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[15].vcache.cache.vcache_prof,4083269,2232156160,1,88,0,11,11,11
tb.card.fpga.CL.lv1_vcache.vcache[0].vcache.cache.vcache_prof,4083270,2232156160,1,96,0,12,12,12
tb.card.fpga.CL.lv1_vcache.vcache[1].vcache.cache.vcache_prof,4083270,2232156160,36,96,2,12,14,12
tb.card.fpga.CL.lv1_vcache.vcache[2].vcache.cache.vcache_prof,4083270,2232156160,41,96,2,12,14,12
